configuration,spacecraft,eligible_passes,successful_passes,success_rate,prior_successful_passes,statuses,target_achieved
L+n/control,pooled,38,0,0.0,0,{'converged': 38},False
L+n/control,FOREST-16,8,0,0.0,0,{'converged': 8},False
L+n/control,FOREST-17,9,0,0.0,0,{'converged': 9},False
L+n/control,FOREST-18,11,0,0.0,0,{'converged': 11},False
L+n/control,FOREST-19,10,0,0.0,0,{'converged': 10},False
L+n/robust,pooled,38,0,0.0,0,"{'converged': 31, 'screening_failed': 7}",False
L+n/robust,FOREST-16,8,0,0.0,0,"{'converged': 7, 'screening_failed': 1}",False
L+n/robust,FOREST-17,9,0,0.0,0,"{'screening_failed': 2, 'converged': 7}",False
L+n/robust,FOREST-18,11,0,0.0,0,"{'converged': 8, 'screening_failed': 3}",False
L+n/robust,FOREST-19,10,0,0.0,0,"{'converged': 9, 'screening_failed': 1}",False
L/control,pooled,38,0,0.0,0,{'converged': 38},False
L/control,FOREST-16,8,0,0.0,0,{'converged': 8},False
L/control,FOREST-17,9,0,0.0,0,{'converged': 9},False
L/control,FOREST-18,11,0,0.0,0,{'converged': 11},False
L/control,FOREST-19,10,0,0.0,0,{'converged': 10},False
L/robust,pooled,38,0,0.0,0,"{'converged': 31, 'screening_failed': 7}",False
L/robust,FOREST-16,8,0,0.0,0,"{'converged': 7, 'screening_failed': 1}",False
L/robust,FOREST-17,9,0,0.0,0,"{'screening_failed': 2, 'converged': 7}",False
L/robust,FOREST-18,11,0,0.0,0,"{'converged': 8, 'screening_failed': 3}",False
L/robust,FOREST-19,10,0,0.0,0,"{'converged': 9, 'screening_failed': 1}",False
six/control,pooled,38,0,0.0,0,"{'fit_error': 13, 'converged': 24, 'nonconverged': 1}",False
six/control,FOREST-16,8,0,0.0,0,"{'fit_error': 3, 'converged': 5}",False
six/control,FOREST-17,9,0,0.0,0,"{'converged': 4, 'fit_error': 5}",False
six/control,FOREST-18,11,0,0.0,0,"{'converged': 8, 'fit_error': 3}",False
six/control,FOREST-19,10,0,0.0,0,"{'converged': 7, 'nonconverged': 1, 'fit_error': 2}",False
six/robust,pooled,38,0,0.0,0,"{'converged': 30, 'screening_failed': 7, 'fit_error': 1}",False
six/robust,FOREST-16,8,0,0.0,0,"{'converged': 7, 'screening_failed': 1}",False
six/robust,FOREST-17,9,0,0.0,0,"{'screening_failed': 2, 'converged': 7}",False
six/robust,FOREST-18,11,0,0.0,0,"{'converged': 8, 'screening_failed': 3}",False
six/robust,FOREST-19,10,0,0.0,0,"{'converged': 8, 'fit_error': 1, 'screening_failed': 1}",False
