configuration,spacecraft,cohort,denominator,statuses,local_successful,local_scored,local_median_rms_m,forecast_successful,forecast_scored,forecast_median_rms_m,target_achieved
L+n/1,pooled,all,38,"{""converged"": 31, ""screening_failed"": 7}",0,31,20333.156280413525,0,31,1205044.7976773195,False
L+n/1,pooled,matched,6,"{""converged"": 6}",0,6,20151.343368467307,0,6,480449.662412578,False
L+n/1,FOREST-16,all,8,"{""converged"": 7, ""screening_failed"": 1}",0,7,20333.156280413525,0,7,1328289.0116317333,False
L+n/1,FOREST-16,matched,1,"{""converged"": 1}",0,1,18876.443857205286,0,1,238138.15280232584,False
L+n/1,FOREST-17,all,9,"{""converged"": 7, ""screening_failed"": 2}",0,7,26857.417811303654,0,7,2896828.7897680304,False
L+n/1,FOREST-17,matched,1,"{""converged"": 1}",0,1,9261.283491054082,0,1,268107.6188309732,False
L+n/1,FOREST-18,all,11,"{""screening_failed"": 3, ""converged"": 8}",0,8,16764.981479732698,0,8,1284748.026012547,False
L+n/1,FOREST-18,matched,1,"{""converged"": 1}",0,1,50911.55754854548,0,1,5654158.113978092,False
L+n/1,FOREST-19,all,10,"{""converged"": 9, ""screening_failed"": 1}",0,9,15399.769447127293,0,9,460047.4722291606,False
L+n/1,FOREST-19,matched,3,"{""converged"": 3}",0,3,21426.24287972933,0,3,692791.7059941827,False
L+n/3,pooled,all,38,"{""warm_up"": 5, ""converged"": 26, ""screening_failed"": 7}",0,26,16373.822983988786,0,26,70061.43845573568,False
L+n/3,pooled,matched,6,"{""converged"": 6}",0,6,19169.075876469746,0,6,74263.20234841263,False
L+n/3,FOREST-16,all,8,"{""warm_up"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,18303.32919920994,0,6,86393.08919689749,False
L+n/3,FOREST-16,matched,1,"{""converged"": 1}",0,1,18882.959100224674,0,1,22084.5194521166,False
L+n/3,FOREST-17,all,9,"{""warm_up"": 1, ""converged"": 6, ""screening_failed"": 2}",0,6,15457.954452783644,0,6,64422.79224688767,False
L+n/3,FOREST-17,matched,1,"{""converged"": 1}",0,1,9430.373698727812,0,1,107282.45120208834,False
L+n/3,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 2, ""converged"": 6}",0,6,11635.21858283298,0,6,70061.43845573568,False
L+n/3,FOREST-18,matched,1,"{""converged"": 1}",0,1,24606.654223926056,0,1,220561.32864863198,False
L+n/3,FOREST-19,all,10,"{""warm_up"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,16560.270953129555,0,8,78754.87344344205,False
L+n/3,FOREST-19,matched,3,"{""converged"": 3}",0,3,19455.19265271482,0,3,41243.95349473692,False
L+n/5,pooled,all,38,"{""warm_up"": 13, ""screening_failed"": 7, ""converged"": 18}",0,18,14079.855275485203,0,18,38034.569400553664,False
L+n/5,pooled,matched,6,"{""converged"": 6}",0,6,18836.810994819476,0,6,25927.01600011922,False
L+n/5,FOREST-16,all,8,"{""warm_up"": 3, ""screening_failed"": 1, ""converged"": 4}",0,4,15574.099849459688,0,4,36959.01812792884,False
L+n/5,FOREST-16,matched,1,"{""converged"": 1}",0,1,18907.341593320984,0,1,27128.943140802166,False
L+n/5,FOREST-17,all,9,"{""warm_up"": 3, ""screening_failed"": 2, ""converged"": 4}",0,4,13835.366739556048,0,4,53766.38526350778,False
L+n/5,FOREST-17,matched,1,"{""converged"": 1}",0,1,9664.72359100613,0,1,21576.552893101012,False
L+n/5,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 4, ""converged"": 4}",0,4,15926.439112975535,0,4,35987.49302050442,False
L+n/5,FOREST-18,matched,1,"{""converged"": 1}",0,1,18766.28039631797,0,1,22323.641253345148,False
L+n/5,FOREST-19,all,10,"{""warm_up"": 3, ""converged"": 6, ""screening_failed"": 1}",0,6,14375.869587382194,0,6,35853.00589837173,False
L+n/5,FOREST-19,matched,3,"{""converged"": 3}",0,3,19015.59882093626,0,3,37086.04464288408,False
L+n/8,pooled,all,38,"{""warm_up"": 25, ""screening_failed"": 7, ""converged"": 6}",0,6,16343.822777301495,0,6,32062.638211165307,False
L+n/8,pooled,matched,6,"{""converged"": 6}",0,6,16343.822777301495,0,6,32062.638211165307,False
L+n/8,FOREST-16,all,8,"{""warm_up"": 6, ""screening_failed"": 1, ""converged"": 1}",0,1,18840.153236634636,0,1,31150.13829424095,False
L+n/8,FOREST-16,matched,1,"{""converged"": 1}",0,1,18840.153236634636,0,1,31150.13829424095,False
L+n/8,FOREST-17,all,9,"{""warm_up"": 6, ""screening_failed"": 2, ""converged"": 1}",0,1,10746.754779403665,0,1,30748.01652796867,False
L+n/8,FOREST-17,matched,1,"{""converged"": 1}",0,1,10746.754779403665,0,1,30748.01652796867,False
L+n/8,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 7, ""converged"": 1}",0,1,19497.274878967422,0,1,47464.46454010178,False
L+n/8,FOREST-18,matched,1,"{""converged"": 1}",0,1,19497.274878967422,0,1,47464.46454010178,False
L+n/8,FOREST-19,all,10,"{""warm_up"": 6, ""converged"": 3, ""screening_failed"": 1}",0,3,13847.492317968352,0,3,32975.13812808967,False
L+n/8,FOREST-19,matched,3,"{""converged"": 3}",0,3,13847.492317968352,0,3,32975.13812808967,False
L+n/archived-control,pooled,all,38,"{""converged"": 38}",0,38,352688.41144615354,0,38,7680308.581137432,False
L+n/archived-control,pooled,matched,6,"{""converged"": 6}",0,6,327414.8575846293,0,6,5363318.973700255,False
L+n/archived-control,FOREST-16,all,8,"{""converged"": 8}",0,8,829034.0075734778,0,8,8504571.236302977,False
L+n/archived-control,FOREST-16,matched,1,"{""converged"": 1}",0,1,175584.9304046261,0,1,5830165.057264869,False
L+n/archived-control,FOREST-17,all,9,"{""converged"": 9}",0,9,471332.4689488379,0,9,8339744.019924947,False
L+n/archived-control,FOREST-17,matched,1,"{""converged"": 1}",0,1,479244.7847646326,0,1,4896472.89013564,False
L+n/archived-control,FOREST-18,all,11,"{""converged"": 11}",0,11,181094.60274409753,0,11,7005088.022577549,False
