satellite,contact_id,station,tle_role,tle_epoch_utc,tle_line1,tle_line2,recorded_start_utc,recorded_end_utc,accepted_start_utc,accepted_end_utc,raw_telemetry_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,accepted_doppler_measurements,gps_fixes_in_window,fitted,status,time_correction_s,time_correction_std_s,frequency_correction_hz,batch_healthy,prior_median_error_km,corrected_median_error_km
FOREST-16,a6252615-8c19-4f78-a6f0-227e3da97c2e,SVALSAT,recorded_only,2026-05-03T09:23:46.592736Z,1 90916U 00000AAA 26123.39151149  .00000000  00000-0  15851-2 0  9994,2 90916  97.7617  21.4277 0002400 218.8820 102.0181 14.92272573    07,2026-05-03T09:40:40.060749+00:00,2026-05-03T10:09:27.049946+00:00,2026-05-03T10:01:16.884186+00:00,2026-05-03T10:01:24.893618+00:00,4134,1703,10,10,9,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,b2bd28a8-6704-4a67-bd8b-2c84fb0473bc,AWARUA,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T10:20:36.158720+00:00,2026-05-03T10:49:55.926637+00:00,2026-05-03T10:31:18.426844+00:00,2026-05-03T10:39:37.754525+00:00,4204,1721,297,297,297,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,9adbc5c4-0b67-471e-a286-dda9a089a49f,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T11:27:39+00:00,2026-05-03T11:38:36.577378+00:00,,,1543,443,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,7815ef69-da31-40ef-853c-e552ebe841cc,TROLL,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T12:12:32.148990+00:00,2026-05-03T12:42:04.105706+00:00,,,3751,1488,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,1c36ca34-a985-4809-9ca7-65e422e6c47d,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T12:56:20.055080+00:00,2026-05-03T13:22:21.964978+00:00,2026-05-03T13:07:11.460412+00:00,2026-05-03T13:14:46.719821+00:00,3568,1503,187,187,187,7,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,e5d79f0b-730b-4832-becf-f716d7322784,PUNTA_ARENAS,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T15:31:25.050098+00:00,2026-05-03T16:00:51.081325+00:00,2026-05-03T15:42:15.405285+00:00,2026-05-03T15:49:59.655731+00:00,4267,1749,340,340,340,6,True,Primary contact,3.7699129155484776,1.5938329471406811,975.1381737014065,True,9.31043794724118,19.15447413981539
FOREST-16,bcec2df5-c0d0-4e89-91ae-f0568424de8a,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T17:50:03.055974+00:00,2026-05-03T18:15:58.955542+00:00,2026-05-03T18:00:40.520348+00:00,2026-05-03T18:02:07.617611+00:00,3623,1533,44,44,44,2,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,82723fb0-59f4-4de8-ac05-f9f3d9a7dcc7,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T19:35:01.058298+00:00,2026-05-03T19:50:52.619807+00:00,2026-05-03T19:39:48.218286+00:00,2026-05-03T19:44:49.403602+00:00,2529,938,252,252,252,1,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,7cb89272-0ba6-4eaf-8445-917ec34e727e,HARTEBEESTHOEK,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T21:39:48.182416+00:00,2026-05-03T21:54:30.671411+00:00,2026-05-03T21:40:25.189144+00:00,2026-05-03T21:51:03.539207+00:00,2349,883,278,278,192,11,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,2a45c0d3-c3e9-45e8-a11f-5dbf6bda0693,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-03T22:47:21.056960+00:00,2026-05-03T23:05:01.746432+00:00,2026-05-03T22:49:21.113395+00:00,2026-05-03T22:51:49.208673+00:00,2841,1040,110,110,110,2,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T00:23:14.048872+00:00,2026-05-04T00:40:56.689500+00:00,2026-05-04T00:26:50.187208+00:00,2026-05-04T00:36:32.536875+00:00,2863,1048,475,475,475,1,True,Limited-GPS contact,2.281825855467873,0.74598812489061,648.128327219715,True,18.16635229061981,1.014236929240361
FOREST-16,85ec563d-ecb0-4c0b-9b2d-eeb9cec80587,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T01:58:43.060348+00:00,2026-05-04T02:16:21.696483+00:00,2026-05-04T02:01:32.182395+00:00,2026-05-04T02:01:37.178550+00:00,2843,1042,6,6,6,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,PUNTA_ARENAS,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T02:35:53.050254+00:00,2026-05-04T02:53:42.663590+00:00,2026-05-04T02:39:19.219744+00:00,2026-05-04T02:49:56.523857+00:00,2912,1070,405,405,401,11,True,Primary contact,3.197873916939136,0.9393951546153176,729.8130679846337,True,21.1402658435308,3.0134519445021715
