pass_id,satellite,station,start_utc,duration_s,gps_fixes,source_tle_rms_km,dart_batch_ls_rms_km,best_rms_km,winning_method
F16-1,FOREST-16,PUNTA_ARENAS,2026-05-03T15:42:15.405285Z,464.2504460811615,6,9.309157091961433,19.156562085162044,9.309157091961433,Source TLE
F16-2,FOREST-16,SVALSAT,2026-05-04T00:26:50.187208Z,582.3496670722961,1,18.16635229061981,1.014236929240361,1.014236929240361,DART batch LS
F16-3,FOREST-16,PUNTA_ARENAS,2026-05-04T02:39:19.219744Z,637.3041129112244,11,21.13257476311278,3.0222481788933777,3.0222481788933777,DART batch LS
F17-1,FOREST-17,HARTEBEESTHOEK,2026-05-03T20:04:03.162277Z,596.3754549026489,7,6.392938487519892,24.858297283728394,6.392938487519892,Source TLE
F17-2,FOREST-17,TROLL,2026-05-03T21:54:34.185557Z,590.4051520824432,10,7.185836098609144,3.8570486689955428,3.8570486689955428,DART batch LS
F17-3,FOREST-17,PUNTA_ARENAS,2026-05-04T01:06:44.176799Z,424.2626791000366,5,8.35720036120308,4.520361047939642,4.520361047939642,DART batch LS
F18-1,FOREST-18,PUNTA_ARENAS,2026-05-03T17:18:55.440628Z,546.3009030818939,9,9.972394048524091,10.821364271889852,9.972394048524091,Source TLE
F18-2,FOREST-18,TROLL,2026-05-03T20:18:25.198752Z,594.347883939743,10,15.33275840352912,1.4031521884773779,1.4031521884773779,DART batch LS
F18-3,FOREST-18,SVALSAT,2026-05-03T21:13:16.051067Z,624.3866090774536,4,14.465059297160588,4.767413192552429,4.767413192552429,DART batch LS
F18-4,FOREST-18,SVALSAT,2026-05-03T22:49:19.221401Z,699.446035861969,3,16.746021052133266,0.3090410581289418,0.3090410581289418,DART batch LS
F18-5,FOREST-18,TROLL,2026-05-03T23:31:14.182410Z,475.2762939929962,7,19.548824703108316,1.400081691473934,1.400081691473934,DART batch LS
F18-6,FOREST-18,AWARUA,2026-05-04T01:23:19.261813Z,530.2385799884796,8,21.386812150053956,1.5904601822944582,1.5904601822944582,DART batch LS
F19-1,FOREST-19,TROLL,2026-05-03T18:43:07.219705Z,560.3253090381622,8,2.4459922652434765,5.257474607459466,2.4459922652434765,Source TLE
F19-2,FOREST-19,AWARUA,2026-05-03T23:47:15.296679Z,646.350017786026,11,2.7611659902797934,0.5146546359264426,0.5146546359264426,DART batch LS
F19-3,FOREST-19,SVALSAT,2026-05-04T05:11:51.150377Z,478.3897399902344,0,,,,N/A
