satellite,contact_id,station,start_utc_s,end_utc_s,observations,ukf_updates,ukf_rejected,ukf_healthy,ukf_offset_s,ukf_offset_std_s,ukf_frequency_bias_hz,in_pass_prior_fixes,in_pass_prior_best_km,in_pass_prior_median_km,in_pass_prior_p90_km,in_pass_prior_worst_km,in_pass_prior_rms_km,in_pass_ukf_online_fixes,in_pass_ukf_online_best_km,in_pass_ukf_online_median_km,in_pass_ukf_online_p90_km,in_pass_ukf_online_worst_km,in_pass_ukf_online_rms_km,in_pass_ukf_postpass_fixes,in_pass_ukf_postpass_best_km,in_pass_ukf_postpass_median_km,in_pass_ukf_postpass_p90_km,in_pass_ukf_postpass_worst_km,in_pass_ukf_postpass_rms_km
FOREST-16,e5d79f0b-730b-4832-becf-f716d7322784,PUNTA_ARENAS,1777822935.405285,1777823399.655731,340,151,189,True,1.1895736963311663,0.2311911661696902,492.7015279625939,6,9.26015260610771,9.31043794724118,9.34389351338773,9.349453172377542,9.309157091961433,6,0.16828624597532824,4.390090585948766,34.093951128122136,46.00650274745905,21.08084130285419,6,0.2999034494372817,0.3702374219795793,0.4120656810492868,0.42059703421104827,0.36948307764737737
FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,SVALSAT,1777854410.187208,1777854992.536875,475,230,245,True,2.034547409038815,0.16372298117181588,553.689588297475,1,18.16635229061981,18.16635229061981,18.16635229061981,18.16635229061981,18.16635229061981,1,18.694884224050284,18.694884224050284,18.694884224050284,18.694884224050284,18.694884224050284,1,2.8110900523595976,2.8110900523595976,2.8110900523595976,2.8110900523595976,2.8110900523595976
FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,PUNTA_ARENAS,1777862359.219744,1777862996.5238569,401,255,146,True,2.830345793691663,0.1513198856834961,508.02310492572906,11,21.0522682879553,21.1402658435308,21.182288198950726,21.189055952485088,21.13257476311278,11,0.47634509477083775,1.0815552986823664,12.933159164673771,13.273778127523952,6.443461845163929,11,0.2672657300727752,0.29469001541709233,0.34506036669065354,0.36264184013848855,0.30400126884726697
FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,HARTEBEESTHOEK,1777838643.162277,1777839239.537732,349,209,140,True,-1.1932225194586863,0.2993083683092705,-46.63380017556665,7,6.383793246706338,6.3950857702494766,6.396628210653864,6.3971806995032185,6.392938487519892,7,0.6668952364493512,4.35970710569797,6.3868916457751626,6.3915392443784,4.4399563676103115,7,2.6341542474159847,2.6366089821189314,2.6460301766915406,2.6510874866169623,2.6393522510030554
FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,TROLL,1777845274.185557,1777845864.590709,370,216,154,True,-0.6104012150430602,0.22771467712486132,158.8748181814608,10,7.123283306985276,7.186209699729114,7.236488516038728,7.24849720792741,7.185836098609144,10,0.6154209025126929,3.687838032297306,25.865157587753938,55.304754099406324,19.208996764225695,10,2.5168306311852184,2.5797359957003616,2.6296513604131895,2.6414842946156316,2.57944084881601
FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,PUNTA_ARENAS,1777856804.1767988,1777857228.439478,344,242,102,True,-0.9386966390116065,0.7932144198597998,680.8660690722718,5,8.274697218512983,8.336725343213235,8.446588928081376,8.496767866032929,8.35720036120308,5,1.961688276854561,4.930167839430217,8.329588640220647,10.477735907461698,5.941171342081041,5,1.2055175780020466,1.2679114807902547,1.3772906769806545,1.4269862502525332,1.2900877341453845
FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,1777828735.4406278,1777829281.741531,471,208,263,True,-1.2882954557356143,0.4570237621376183,677.9991731837363,9,9.941601306060514,9.976358126569039,9.985338495390733,9.985399142913787,9.972394048524091,9,0.32257931709436516,2.801774779597945,34.229668480395055,45.85681102630115,18.993575294800788,9,0.24742575177048198,0.30079762071107446,0.3541775732269884,0.3677547419860927,0.3066119069365835
FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,1777839505.198752,1777840099.5466359,341,5,336,False,-11.727649939795413,1.4676784403600505,-14431.463357523258,10,15.121492087712431,15.349585337786758,15.470591934885984,15.492829481916695,15.33275840352912,10,16.74158920352445,70.19775261702667,83.42690705442338,83.45816211756107,59.64716612248132,10,73.01262660069415,73.16829305571876,73.37004736191085,73.43093111960343,73.19019425242506
FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,1777842796.0510669,1777843420.437676,336,244,92,True,-2.5561768691036164,0.47498145793020763,127.7183476707246,4,14.43330186772401,14.463048590682204,14.492899727990103,14.500749770973044,14.465059297160588,4,0.41281042422718345,6.311138650574696,23.996609302882227,29.90006501957692,15.846395706643566,4,4.850534898513149,4.883375928019886,4.905232666377253,4.910158261822739,4.881912501223025
FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,1777848559.221401,1777849258.6674368,339,38,301,False,-28.889356379953256,0.6094607587189003,-12773.40548233455,3,16.722016758599846,16.744291818269637,16.766232420067944,16.77171757051752,16.746021052133266,3,17.440370556773303,21.33737635610939,21.359212544555827,21.364671591667435,20.132058572830406,3,201.78704007804942,201.81334119476944,201.83075804972123,201.83511226345917,201.81183213582887
FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,TROLL,1777851074.18241,1777851549.458704,322,209,113,True,-1.5987981953573325,0.6869772541879975,297.076700458314,7,19.450944269972172,19.555461530378675,19.61645865301529,19.629129824592876,19.548824703108316,7,1.7051835584577117,10.423606806084464,24.119177289125126,35.75325887746179,16.795857990526837,7,7.387663745754311,7.492240373950205,7.5529947177670005,7.565572518144358,7.485648594138374
FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,AWARUA,1777857799.261813,1777858329.500393,337,210,127,True,-2.242548900861287,0.7615437669570878,866.1155651811423,8,21.349262033471824,21.39124974619928,21.410329577103383,21.413864489938813,21.386812150053956,8,0.2222324834941464,9.03257576967539,20.797588739861496,37.73612100704499,15.89779654470735,8,4.4088110074363245,4.457493963797463,4.481368705325734,4.485983305624301,4.452963101897439
FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,TROLL,1777833787.2197049,1777834347.545014,358,236,122,True,-0.1868847579530275,0.32830266151582127,-72.5563275267366,8,2.2601490391440215,2.4368287399661126,2.600938969479712,2.6412907380867185,2.4459922652434765,8,1.2978633138640008,4.695823079896146,15.402432028588503,31.663953248579737,12.250481981288297,8,3.654974197658134,3.8263049777633196,3.988342296748298,4.0284764758064915,3.8348511376704035
FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,AWARUA,1777852035.296679,1777852681.6466968,521,345,176,True,0.05545026836131558,0.17927760798350417,615.2572651548072,11,2.670352914811693,2.7455769457806714,2.861541557030949,2.8991011388183754,2.7611659902797934,11,2.6306760921566084,3.165478229997381,11.221624843593135,23.461727485476462,8.647335625746468,11,2.2523316722725713,2.32819338664071,2.444815809462448,2.482501311872154,2.344016218642621
FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,SVALSAT,1777871511.150377,1777871989.540117,357,242,115,True,0.24542123207342303,0.17381086965475706,909.0342863340811,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
